id,question,answer
469,Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks
470,What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo"
471,Are kangaroos and wallabies adept swimmers?,yes
472,Are kangaroos farmed to any extent?,No.
473,Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians
474,Different species of kangaroos eat what?,different diets
475,Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes
476,Is a collision with a vehicle capable of killing a kangaroo ?,yes
477,Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,yes
478,"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes
479,"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes
480,What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.
481,Have larger kangaroos adapted much better to changes?,yes
482,Is the leopard smaller than the other members of Panthera?,yes
483,Is a leopard larger and less lanky than a cheetah?,yes
484,Are large pythons potential prey for leopards?,yes
485,What may a leopard be mistaken for?,A cheetah or a jaguar
486,What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard
487,Where do leopards often hide their kills?,in dense vegetation
488,How did early naturalists distinguish between leopards and panthers?,by the length of their tails
489,What are dark leopards known as colloquially?,Black Panthers
490,What shape are a leopard's black roS08_settes in East Africa?,circular
491,Is the leopard an Old World mammal?,yes
492,Is the leopard of the Felidae family?,yes
493,Is the leopard one of the four 'big cats'?,yes
494,Where is the leopard distributed?,southern Eurasia and Africa
495,How long is a leopard's tail?,60 to 110cm
496,How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. 
497,Does a male leopard weigh more than a female leopard?,yes
498,What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
499,How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa."
500,What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role
501,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus
502,What sort of cats are solitary?,Leopards
503,Are leopards circular?,No
504,Is the leopard solitary?,Yes
505,What centred in Sierra?,The leopard men
506,Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae"
507,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes
508,Were the Leopard men a West African secret society who practised cannibalism ?,Yes
509,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes
510,Is the black color heritable and caused by only one recessive gene locus ?,Yes
511,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes
512,Can a panther be any of several species of large felid?,Yes
513,Is the leopard an agile and graceful predator?,Yes
514,Is Liechtenstein bordered by Switzerland?,Yes
515,Is Liechtenstein the smallest German-speaking country in the world?,Yes
516,Was Liechtenstein part of the ancient Roman province of Raetia?,Yes
517,When was the first factory opened?,1836
518,How many municipalities is Liechtenstein divided into?,11
519,What is the national currency of Liechtenstein?,Swiss franc
520,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes
521,What company administers Leichtenstein's railways?,Austrian Federal Railways
522,What percentage of Liechtenstein's population is foreign-born?,two-thirds
523,Is there an airport in Liechtenstein?,No.
524,Is Liechtenstein heavily urbanized?,No.
525,Is Liechtenstein doubly landlocked?,Yes.
526,Does Liechtenstein have an army?,No.
527,When was Liechtenstein's current constitution adopted?,October 1921.
528,What is the official language of Liechtenstein?,German.
529,What countries border Liechtenstein?,Switzerland and Austria.
530,What Roman province was Liechtenstein part of?,Raetia.
531,How many municipalities are within Oberland?,6.
532,What is the smallest German-speaking country in the world?,Liechtenstein
533,"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861
534,What enjoys one of the world's highest standards of living?,Liechtenstein's population
535,Does the state court rule on the conformity of laws?,Yes
536,What do most recognizable international company and largest employer have in common?,They are Hilti.
537,Was Liechtenstein completed in November 2000?,No
538,What completed in November?,the Kunstmuseum Liechtenstein
539,The State Court rules what?,on the conformity of laws with the constitution
540,The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.
541,Is the museum collection also the national art collection of Liechtenstein ?,Yes
542,Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes
543,Are nationals referred to by the plural : Liechtensteiners ?,Yes
544,"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes
545,Is it a winter sports resort?,Yes
546,Is it the smallest german-speaking country in the world?,Yes
547,"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land
548,"Did Webster write, ""I can now sleep of nights""?",Yes.
549,Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes
550,"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes
551,Who got Seward elected to the senate?,Weed
552,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan
553,What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.
554,Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.
555,Did Fillmore run for President a second time?,Yes
556,How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?
557,Was Millard Fillmore the thirteenth President of the United States?,yes
558,"Was Millard Fillmore born on January 7, 1800?",yes
559,"Did Millard Fillmore die on March 8, 1974?",no
560,Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
561,To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore
562,Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers
563,What did Taylor and Fillmore disagree upon?,slavory issues
564,How did Fillmore ascend to the presidency?,"upon the death of the sitting president, Taylor"
565,How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him
566,Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore
567,He founded the private university of buffalo on what date?,1846
568,Who or what fell in love with abigail powers?,millard fillmore
569,Was Fillmore one of the founders of the University of Buffalo?,yes
570,Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,yes
571,"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",no
572,Is Fillmore the first of two presidents to have been an indentured servant ?,yes
573,Is the comic strip Mallard Fillmore named after the president ?,yes
574,Was Fillmore the first U.S. President born after the death of a former president ?,yes
575,"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no
576,"What happened in a log cabin in summerhill , new york?",Fillmore was born
577,"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla
578,Are there at least two films describing Tesla 's life ?,Yes.
579,Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.
580,Do sea otters have long muscular tails?,no
581,Can otters survive in cold water?,yes
582,Does the giant otter inhabit South Africa?,no
583,How many species of otter are there?,13
584,What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
585,How much do sea otters weigh?,30 kg (about 65 pounds)
586,How do sea otters insulate themselves?,a layer of air trapped in their fur(!)
587,Why are sea otters nearly extinct?,They've been hunted for their fur
588,What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths
589,Is otter a kind of mammal?,yes
590,How many species and genera does otter have?,13 species and 7 genera
591,Do otters live in water?,yes
592,Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. 
593,"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. "
594,Does otter give birth or lay egg?,give birth
595,What drives sea otter almost to extinction?,Humans hunted them almost to extinction. 
596,Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. "
597,Do sea otters live along the Pacific coast?,Yes
598,Are otters totem animals?,Yes
599,Are otters herbivores?,No
600,What is the primary item in an otter's diet?,Fish.
601,What is an otter's den called?,Holt
602,Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  "
603,How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  
604,How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.  "
605,What animals are related to otters?,"weasels, polecats, and badgers"
606,"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair
607,The collective noun romp is sometimes used for a group of what?,Otters
608,Is it true that otters eat a variety of fish?,yes
609,Are otters playful animals?,yes
610,Are otters very active?,yes
611,Are male otters dog-otters?,yes
612,An otter 's den is what?,A holt
613,Sea otters eat what?,Shellfish and other invertebrates
614,Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?,yes
615,"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes
616,Is an otter 's den called a holt ?,yes
617,"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes
618,Do penguins feed on krill?,yes
619,What is the largest living species of penguin?,Emperor Penguin
620,Do penguins live almost exclusively in the Southern Hemisphere?,yes
621,"What is ""tobogganing""?",when penguins slide on their bellies across the snow
622,Why are penguins countershaded?,for camouflage
623,Are penguins afraid of humans?,no
624,How much time to penguins spend on land?,half of their life
625,How many species of penguins are there?,between 17 and 20 living species
626,How are Isabelline penguins different from most penguins?,they have brown rather than black plumage
627,Are penguins birds?,yes
628,Do penguins have a better than average sense of hearing for birds?,yes
629,"Are penguins considered ""higher waterbirds""?",yes
630,What order do penguins belong to?,Sphenisciformes
631,How tall were the tallest prehistoric penguins?,1.80 meters
632,What makes penguins so agile in the water?,Their wings have become flippers
633,"Why do penguins ""tobaggan""?",It conserves energy while moving quickly
634,Who spend half of their life on land and half in the oceans?,Penguins
635,What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters
636,"What have become flippers, useless for flight in the air?",Penguins' wings
637,What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick."
638,Is it true that each penguin gets a turn in the center?,Yes
639,Are all penguins countershaded?,Yes
640,Are penguins astonishingly agile?,In the water they are.
641,Are penguins at risk?,Yes
642,"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes
643,Have penguins an average sense of hearing for birds ?,Yes
644,Can larger penguins dive deep in case of need ?,Yes
645,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes
646,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.
647,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes
648,"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes
649,What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.
650,What is the last word on the page?,Connecticut
651,Is polar bear a mammal?,Yes
652,Is polar bear a carnivore?,Yes
653,What is largest polar bear on record?,2200 lb
654,What is polar bear's skin color?,white or cream
655,How long is polar bear's guard hair?,5-15 cm
656,What is cause of polar bear's skin diseases?,mites or other parasites
657,Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced."
658,What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.
659,Does a polar bear live in the Arctic?,yes
660,Is a polar bear white in color?,yes
661,Is a polar bear at high risk of extinction?,yes
662,How heavy is a male polar bear?,300-600 kg (660-1320 lb)
663,How heavy was the largest polar bear on record?,1002 kg (2200 lb) 
664,What does a polar bear's fur provide?,It provides the animal with effective camouflage.
665,Do female polar bears weight more than the male?,no
666,How much weight do female polar bears gain during pregnancy?,They gain double their weight.
667,Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.
668,What is actually black in color?,A polar bear's skin.
669,What insulate it against the cold?,Its think blubber and fur.
670,What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.
671,What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.
672,Are studies insufficient evidence for global protection?,It is arguable.
673,Are polar bears excellent swimmers?,yes
674,"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice."
675,Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba."
676,The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.
677,Is the Polar Bear the mascot of Bowdoin college ?,yes
678,Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes
679,"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no
680,Are Cubs born in December without awakening the mother ?,yes
681,Does Qatar rank as the eighth richest country in the world per capita?,No.
682,Do nearly all Qataris profess Islam?,Yes.
683,Can women legally drive in Qatar?,Yes.
684,When did Qatar become an independent state?,"September 3, 1971."
685,Where is Qatar's telecommunication system centered?,Doha.
686,Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.
687,Does the native pronunciation of Qatar sound like 'cutter'?,Yes.
688,What is the Arabic word for municipalities?,baladiyah.
689,What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College."
690,What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.
691,Qatar became an independent sovereign state in what year?,"On September 3, 1971."
692,"What consists of a low, barren plain, covered with sand?",Much of the country.
693,How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.
694,Was Qatar University founded in 1973?,Yes
695,Is Qatar bordered by Saudi Arabia to the south?,Yes
696,What bordered by Saudi?,Qatar
697,Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.
698,Has Qatar a modern Telecommunication system centered in Doha ?,Yes
699,Was Qatar University founded in 1973 ?,Yes
700,"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes
701,Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes
702,"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes
703,What happened in these positions in english?,These allophones cannot occur there.
704,Can these allophones not occur in these positions in english?,yes
705,"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?",Yes
706,Does Romania border Hungary?,Yes.
707,Is Romania a secular state?,Yes.
708,Is the president elected by popular vote?,Yes.
709,How many counties is Romania divided into?,41.
710,What is the highest mountain in Romania?,Moldoveanu Peak.
711,What is the official language of Romania?,Romanian.
712,Is the Romanian economy doing well?,Yes.
713,Are there many Roma in Romania?,No.
714,How many territories joined to form Romania?,2.
715,Does Romania share a border with Ukraine?,yes
716,Did Romania declare neutrality during World War I?,yes
717,Does Romania share the same language with Moldova?,yes
718,"Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci
719,What is the largest city in Romania?,Bucharest
720,What is the largest ethnic minority in Romania?,Hungarians
721,How many countries in Europe are bigger than Romania?  ,eleven
722,Why doesn't Romania have a state religion?  ,Romania is a secular state
723,Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum
724,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007
725,"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human
726,"Is it true that romania has a population of 21,698,181?",Yes
727,What do economy and law have in common?,(not sure how to answer this)
728,What did Tourism in Romania attract in 2005?,investments worth 400 million euros
729,Is Romania a semi-presidential unitary state?,Yes
730,Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes
731,Was Gellu Naum the leader of the surrealist movement in Romania ?,Yes
732,Was the Bucharest Metro only opened in 1979 ?,Yes
733,"Is romania -LRB- , -RRB- a country in southeastern europe?",Yes
734,Is romania a semi-presidential unitary state?,Yes
735,Do singaporeans enjoy squid?,"Yes, they do."
736,Did Singapore's standard of living decrease since independence?,"No, the standard living was raised."
737,Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001."
738,How many people use the bus network daily?,More than 2.78 million people.
739,Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands."
740,What is the MRT?,One of three heavy rail passenger transport lines in Singapore.
741,How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.
742,How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. 
743,How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days
744,Is Singapore located at the southern tip of the Korean Penisula?,no
745,Is Singapore a city-state?,yes
746,Has Sang Nila Utama visited Singapore?,yes
747,"What does ""singa"" mean?",lion
748,When is the first record of S08_settlement in Singapore?,second century AD
749,Which nation invaded Singapore during World War II?,Japan
750,"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days
751,Was Lee Kuan Yew a successful leader of Singapore?,yes
752,When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister."
753,What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.
754,What is the national language of Singapore?,The national language of Singapore is Malay.
755,Where is the National Orchid Garden?,Singapore Botanic Gardens.
756,Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important."
757,What is the most densely populated independent country in the world?,Monaco
758,Who did Sir Thomas Stamford Raffles work for?,British East India Company
759,When was Lee Kuan Yew prime minister of Singapore?,1959
760,What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.
761,What established a trading post on the island in 1819?,British East India Company 
762,What used Singapore as a strategic trading post along the spice route?,British
763,What became one of the most important commercial and military centres of the British Empire?,Singapore
764,"Who boasted a sizeable community of 100,000 by 1869?",British India office
765,How do reservoirs and water relate?,"By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. "
766,Is it true that singapore has several long - standing disputes with malaysia?,Yes
767,Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes
768,Has Singapore a network of reservoirs and water catchment areas ?,Yes
769,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes
770,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?",No
771,"Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?",Yes
772,Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No
773,Was Thedore Roosevelt  a member of the Republican Party?,Yes
774,Does Theodore Roosevelt have a brother?,Yes
775,Did Theodore Roosevelt go to Harvard?,Yes
776,Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City
777,What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise
778,Why did Roosevelt start Boxing lessons?,To deal with bullies
779,What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult
780,What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it
781,How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions
782,Did Theodore Roosevelt study Judo?,No
783,Did Roosevelt receive a Medal of Honor?,yes
784,Did Roosevelt study biology?,yes
785,Where was Theodore Roosevelt from?,Gramercy section of New York City
786,Who was Roosevelt's presidential hero?,Lincoln was Roosevelt's presidential hero.
787,When did Roosevelt die?,"On January 6, 1919, Roosevelt died in his sleep."
788,Who helped to fund Roosevelt's African safari?,Financed by Andrew Carnegie and his own proposed writings
789,Did Roosevelt support racial integration in schools?,yes
790,Was Roosevelt's family rich?,yes
791,Are turtles ectothermic?,Yes
792,Does the mother care for the young?,No
793,Are turtles pets?,Yes
794,What shape are the eggs of the larest species of turtle?,Spherical
795,How often do turtles breed?,Every few years or more
796,What do all turtles and tortoises breathe?,air
797,How do turtles reproduce?,They lay eggs
798,What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time
799,What suborder of turtle draws its head into its shell?,Pleurodira
800,Do sea turtles lay eggs on dry sandy beaches?,Yes
801,Are Pleurodira known as side-necked turtles?,Yes
802,Are turtles a part of the Flying Spaghetti Monster?,*shrug*
803,How many suborders are turtles divided into?,Three.
804,Name a turtle popularly kept as a pet.,Russian Tortoises
805,Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal"
806,"If a turtle egg was kept warm, what would likely hatch?",A female turtle.
807,What do turles use to breathe in the water?,Papillae
808,Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.
809,Do turtles lay eggs underwater?,No
810,Are turtle eggs leathery and soft?,Yes
811,Are turtles being examined for longevity genes?,Yes
812,What suborder of turtles is extinct?,Paracryptodira
813,What do turtle eggs preared to eat consist mainly of?,Yolk
814,Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand
815,What is the smallest suborder of turtles?,Pleurodira
816,What are turtle eggs covered in when they incubate?,Mud or Sand
817,What type of creatures breathe air and don't lay eggs underwater?,Amniotes
818,What are deposited in holes dug into mud or sand?,eggs
819,What sort of turtles are ectothermic?,all of them
820,Are the largest turtles aquatic?,yes
821,Is aquatic respiration in Australian freshwater turtles being studied?,yes
822,"These projections , called papillae , have what?",a rich blood supply
823,The eggs of the largest species are what?,spherical
824,Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes
825,Can turtles take many years to reach breeding age ?,yes
826,Are Immature sea turtles not cared for by the adults ?,yes
827,"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes
828,"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes
829,Was Ulysses Grant a general in the American Civil War?,Yes
830,Was Grant's father-in-law a Democrat?,Yes
831,Did Ulysses win the Battle of Champion Hill?,Yes
832,Who was Grant's brother in law?,Fred Dent
833,Where was Grant born?,"Point Pleasant, Ohio"
834,What was Grant's political affiliation?,Republican
835,"Why did Grant say ""Damn, I had nothing to do with this batte.""?",It went well.
836,Did Horace Greenley lose in the presidential elections of 1872?,Yes
837,Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.
838,Who achieved international fame as the leading Union general in the American Civil War?,Grant
839,Grant was elected president as a Republican in what year?,1868
840,Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Grant
841,When did he vote for democrat james buchanan?,1856
842,"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant
843,Was Grant elected president as a Republican?,yes
844,What was from Pennsylvania?,His father
845,Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes
846,Was Grant 's favorite brand of bourbon whiskey Old Crow ?,yes
847,Had he smoked only sporadically ?,yes
848,"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did
849,Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes
850,What happened in 1865?,he accepted the surrender of Robert E. Lee
851,What happened in recent years?,his reputation as president has improved
852,Is Uruguay located in the northwesten part of Africa?,No.
853,Is Uruguay's capital Montevideo?,Yes.
854,Does Uruguay have cold summers?,No.
855,Who founded Montevideo?,The Spanish.
856,Where is Uruguay's oldest church?,"San Carlos, Maldonado."
857,Who heavily influenced the architecture and culture of Montevideo?,European immigrants.
858,What are poor neighborhoods called informally?,Cantegriles.
859,Is uruguay's landscape mountainous?,No.
860,What religion do most Uruguayans profess?,None.
861,Is Uruguay located in South America?,Yes. It's located in the southeastern part
862,Can citizens propose changes to the Constitution?,Yes. People are allowed to challenge laws.
863,Did Uruguay host the first ever World Cup?,"Yes, in 1930."
864,How many square kilometres of continental land is Uruguay?,176.215 km�� 
865,How much of the population is of white European descent?,88%
866,Why was the capital of Uruguay founded?,For a military stronghold.
867,How many times has Uruguay won the World Cup?,Twice. 
868,How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average
869,Does Uruguay recognize same-sex civil unions?,Yes
870,Does Uruguay border French Guiana?,No
871,Is Uruguay's warmest month June?,No
872,What does a citizen use to propose changes to the Constitution?,Referendum
873,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing."
874,What has Uruguay done to be competitive in agriculture?,"Labeling as ""Natural"" or ""Ecological"""
875,What are the names of Uruguay's political parties?,Partido Colorado and Partido Blanco
876,Is Uruguay the smallest soverign nation in South America?,No
877,What was founded by the Spanish in the early 18th century as a military stronghold?,Montevideo
878,What has many possible meanings?,(What?)
879,How do india and latin america relate?,Uruguay exports architectural services to India and Latin America
880,What did Uruguay win in 1828?,Its independence
881,Is Uruguay very common?,No?
882,Is The climate in Uruguay temperate?,Yes
883,Is the main sport in Uruguay football ?,Yes
884,"Is Uruguay 's oldest church in San Carlos , Maldonado ?",Yes
885,Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,Yes
886,Is it widely considered the most secular nation in Latin America ?,Yes
887,"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",Yes
888,"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",Yes
889,Was Woodrow Wilson the thirtieth President of the United States?,no
890,Did Woodrow Wilson create the League of Nations?,yes
891,Did the U.S. join the League of Nations?,no
892,Where was the League of Nations created?,Paris
893,When was Woodrow Wilson born?,"December 28, 1856"
894,Who was President when Wilson finished Congressional Government?,Grover Cleveland
895,What field did Woodrow Wilson leave law practice to study?,history and political science
896,What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare
897,What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West
898,Was Wilson a member of the Phi Kappa Psi fraternity?,yes
899,Was Wilson an automobile enthusiast?,yes
900,Did Wilson's father own slaves?,yes
901,Where is Wilson buried?,He was buried in Washington National Cathedral
902,Where did Wilson attend law school?,Wilson attended law school at University of Virginia
903,Where was Woodrow Wilson born?,"Woodrow Wilson was born in Staunton, Virginia"
904,Did Wilson support desegregation?,no
905,Did Wilson support the committee system?,no
906,Did Wilson have any siblings?,yes
907,What was Scots-Irish and Scottish?,His ancestry
908,"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father
909,Who did Wilson win in 1917?,Irish Americans
910,Was Wilson awarded the 1919 Nobel Peace Prize?,Yes
911,Was Wilson a remarkably effective writer and thinker?,Yes
912,What lived in Columbia?,Wilson
913,Was Wilson president of the American Political Science Association in 1910 ?,Yes
914,"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes
915,Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,Yes
